,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
24,7,0,Ahmedabad-380015,16,0,9999999999999999,253,657,571,689,253|253|253|253|253|253|253|253|253|253|253|253|253|253|253|253,657|657|657|657|657|657|657|657|657|657|657|657|657|657|657|657,571|571|571|571|571|571|571|571|571|571|571|571|571|571|571|571,689|689|689|689|689|689|689|689|689|689|689|689|689|689|689|689,0,32,32,0,False,True,9,False,1,0,6,0,False,I-Invoice_VendorAddress
25,7,1,VARIABLE,8,17,99999999,1570,657,1786,697,1570|1570|1570|1570|1570|1570|1570|1570,657|657|657|657|657|657|657|657,1786|1786|1786|1786|1786|1786|1786|1786,697|697|697|697|697|697|697|697,999,40,40,0,True,False,9,False,1,0,0,1,False,O
26,7,2,FPDE,4,26,9999,1800,660,1911,699,1800|1800|1800|1800,660|660|660|660,1911|1911|1911|1911,699|699|699|699,14,39,39,0,True,False,9,False,1,0,0,1,False,O
27,7,3,GL,2,31,99,1922,660,1981,701,1922|1922,660|660,1981|1981,701|701,11,41,41,0,True,False,9,False,1,0,0,1,False,O
28,7,4,"""JP",3,34,999,2001,641,2105,695,2001|2001|2001,641|641|641,2105|2105|2105,695|695|695,20,54,54,0,False,True,9,False,1,0,0,1,False,O
29,7,5,"""(Japan)",8,38,77777777,2093,636,2300,709,2093|2093|2093|2093|2093|2093|2093|2093,636|636|636|636|636|636|636|636,2300|2300|2300|2300|2300|2300|2300|2300,709|709|709|709|709|709|709|709,-12,73,73,0,False,True,7,False,1,0,0,1,False,O
30,7,6,9%,2,47,99,2382,653,2468,707,2382|2382,653|653,2468|2468,707|707,82,54,54,0,False,True,9,False,1,0,1,2,False,O
31,8,0,State,5,0,99999,253,706,336,736,253|253|253|253|253,706|706|706|706|706,336|336|336|336|336,736|736|736|736|736,0,30,30,0,False,False,9,False,1,0,0,0,False,I-Invoice_VendorAddress
32,8,1,:,1,6,9,348,712,357,736,348,712,357,736,12,24,24,0,False,True,9,True,1,0,0,1,False,I-Invoice_VendorAddress
33,8,2,GUJARAT,7,8,9999999,371,706,521,736,371|371|371|371|371|371|371,706|706|706|706|706|706|706,521|521|521|521|521|521|521,736|736|736|736|736|736|736,14,30,30,0,True,False,9,False,1,0,0,2,False,I-Invoice_VendorAddress
34,8,3,DN,2,16,99,1571,727,1637,765,1571|1571,727|727,1637|1637,765|765,1050,38,38,0,True,False,9,False,1,0,0,3,False,O
35,8,4,CODE,4,19,9999,1652,727,1783,766,1652|1652|1652|1652,727|727|727|727,1783|1783|1783|1783,766|766|766|766,15,39,39,0,True,False,9,False,1,0,0,3,False,O
36,8,5,:,1,24,9,1789,738,1799,766,1789,738,1799,766,6,28,28,0,False,True,9,True,1,0,0,4,False,O
37,8,6,"""SG",3,26,999,1913,715,2020,762,1913|1913|1913,715|715|715,2020|2020|2020,762|762|762,114,47,47,0,False,True,9,False,1,0,0,5,False,O
38,8,7,(Singapore),11,30,88888888888,2037,706,2297,778,2037|2037|2037|2037|2037|2037|2037|2037|2037|2037|2037,706|706|706|706|706|706|706|706|706|706|706,2297|2297|2297|2297|2297|2297|2297|2297|2297|2297|2297,778|778|778|778|778|778|778|778|778|778|778,17,72,72,0,False,True,8,False,1,0,0,5,False,O
39,8,8,8%,2,42,99,2354,723,2450,778,2354|2354,723|723,2450|2450,778|778,57,55,55,0,False,True,9,False,1,0,1,6,False,O
40,9,0,State,5,0,99999,253,754,336,785,253|253|253|253|253,754|754|754|754|754,336|336|336|336|336,785|785|785|785|785,0,31,31,0,False,False,9,False,1,0,0,0,False,I-Invoice_VendorAddress
41,9,1,Code,4,6,9999,347,754,429,785,347|347|347|347,754|754|754|754,429|429|429|429,785|785|785|785,11,31,31,0,False,False,9,False,1,0,0,0,False,I-Invoice_VendorAddress
42,9,2,:,1,11,9,440,761,448,785,440,761,448,785,11,24,24,0,False,True,9,True,1,0,0,1,False,I-Invoice_VendorAddress
43,9,3,24,2,13,99,462,756,507,788,462|462,756|756,507|507,788|788,14,32,32,0,False,False,9,False,1,0,2,2,True,I-Invoice_VendorAddress
44,9,4,Country,7,16,9999999,533,756,661,793,533|533|533|533|533|533|533,756|756|756|756|756|756|756,661|661|661|661|661|661|661,793|793|793|793|793|793|793,26,37,37,0,False,False,9,False,1,0,0,2,False,I-Invoice_VendorAddress
45,9,5,:,1,24,9,673,763,681,785,673,763,681,785,12,22,22,0,False,True,9,True,1,0,0,3,False,I-Invoice_VendorAddress
46,9,6,IN,2,26,99,694,756,732,786,694|694,756|756,732|732,786|786,13,30,30,0,True,False,9,False,1,0,0,4,False,I-Invoice_VendorAddress
47,9,7,"'TH""",4,29,5555,1560,778,1713,844,1560|1560|1560|1560,778|778|778|778,1713|1713|1713|1713,844|844|844|844,828,66,66,0,False,True,5,False,1,0,0,5,False,O
48,9,8,(Thailand),10,34,9999999999,1723,769,2018,855,1723|1723|1723|1723|1723|1723|1723|1723|1723|1723,769|769|769|769|769|769|769|769|769|769,2018|2018|2018|2018|2018|2018|2018|2018|2018|2018,855|855|855|855|855|855|855|855|855|855,10,86,86,0,False,True,9,False,1,0,0,5,False,O
49,9,9,63%,3,45,999,2122,781,2270,846,2122|2122|2122,781|781|781,2270|2270|2270,846|846|846,104,65,65,0,False,True,9,False,1,0,2,6,False,O
50,10,0,Ref,3,0,999,252,859,308,889,252|252|252,859|859|859,308|308|308,889|889|889,0,30,30,0,False,False,9,False,1,0,0,0,False,O
51,10,1,:,1,4,9,318,866,326,889,318,866,326,889,10,23,23,0,False,True,9,True,1,0,0,1,False,O
52,10,2,20164/36876/11026,17,6,99999999999999999,340,859,664,896,340|340|340|340|340|340|340|340|340|340|340|340|340|340|340|340|340,859|859|859|859|859|859|859|859|859|859|859|859|859|859|859|859|859,664|664|664|664|664|664|664|664|664|664|664|664|664|664|664|664|664,896|896|896|896|896|896|896|896|896|896|896|896|896|896|896|896|896,14,37,37,0,False,True,9,False,1,0,15,2,False,O
53,10,3,"""AU",3,24,666,1537,855,1670,922,1537|1537|1537,855|855|855,1670|1670|1670,922|922|922,873,67,67,0,False,True,6,False,1,0,0,3,False,O
54,10,4,(Australia),11,28,99999999999,1701,848,2018,933,1701|1701|1701|1701|1701|1701|1701|1701|1701|1701|1701,848|848|848|848|848|848|848|848|848|848|848,2018|2018|2018|2018|2018|2018|2018|2018|2018|2018|2018,933|933|933|933|933|933|933|933|933|933|933,31,85,85,0,False,True,9,False,1,0,0,3,False,O
55,10,5,15%,3,40,999,2125,859,2256,910,2125|2125|2125,859|859|859,2256|2256|2256,910|910|910,107,51,51,0,False,True,9,False,1,0,2,4,False,O
56,11,0,Client,6,0,999999,251,907,358,939,251|251|251|251|251|251,907|907|907|907|907|907,358|358|358|358|358|358,939|939|939|939|939|939,0,32,32,0,False,False,9,False,1,0,0,0,False,O
57,11,1,GSTIN,5,7,99999,368,909,483,939,368|368|368|368|368,909|909|909|909|909,483|483|483|483|483,939|939|939|939|939,10,30,30,0,True,False,9,False,1,0,0,0,False,O
58,11,2,No,2,13,99,495,909,547,939,495|495,909|909,547|547,939|939,12,30,30,0,False,False,9,False,1,0,0,0,False,O
59,11,3,:,1,16,9,556,917,567,939,556,917,567,939,9,22,22,0,False,True,9,True,1,0,0,1,False,O
60,11,4,24AAECD2713N1ZQ,15,18,999999999999999,590,911,952,947,590|590|590|590|590|590|590|590|590|590|590|590|590|590|590,911|911|911|911|911|911|911|911|911|911|911|911|911|911|911,952|952|952|952|952|952|952|952|952|952|952|952|952|952|952,947|947|947|947|947|947|947|947|947|947|947|947|947|947|947,23,36,36,0,False,False,9,False,1,0,7,2,False,B-Invoice_CustomerTaxId
61,11,5,Client,6,34,999999,985,911,1090,942,985|985|985|985|985|985,911|911|911|911|911|911,1090|1090|1090|1090|1090|1090,942|942|942|942|942|942,33,31,31,0,False,False,9,False,1,0,0,3,False,O
62,11,6,PAN,3,41,999,1100,912,1176,942,1100|1100|1100,912|912|912,1176|1176|1176,942|942|942,10,30,30,0,True,False,9,False,1,0,0,3,False,O
63,11,7,:,1,45,9,1189,919,1199,941,1189,919,1199,941,13,22,22,0,False,True,9,True,1,0,0,4,False,O
64,11,8,AAECD2713N,10,47,9999999999,1209,913,1455,943,1209|1209|1209|1209|1209|1209|1209|1209|1209|1209,913|913|913|913|913|913|913|913|913|913,1455|1455|1455|1455|1455|1455|1455|1455|1455|1455,943|943|943|943|943|943|943|943|943|943,10,30,30,0,False,False,9,False,1,0,4,5,False,O
65,11,9,(Korea),7,58,9999999,1708,920,1985,997,1708|1708|1708|1708|1708|1708|1708,920|920|920|920|920|920|920,1985|1985|1985|1985|1985|1985|1985,997|997|997|997|997|997|997,253,77,77,0,False,True,9,False,1,0,0,6,False,O
66,11,10,5%,2,66,99,2112,923,2235,976,2112|2112,923|923,2235|2235,976|976,127,53,53,0,False,True,9,False,1,0,1,7,False,O
67,12,0,GSTIN,5,0,99999,238,1045,361,1078,238|238|238|238|238,1045|1045|1045|1045|1045,361|361|361|361|361,1078|1078|1078|1078|1078,0,33,33,0,True,False,9,False,1,0,0,0,False,O
68,12,1,Registration,12,6,999999999999,386,1045,620,1085,386|386|386|386|386|386|386|386|386|386|386|386,1045|1045|1045|1045|1045|1045|1045|1045|1045|1045|1045|1045,620|620|620|620|620|620|620|620|620|620|620|620,1085|1085|1085|1085|1085|1085|1085|1085|1085|1085|1085|1085,25,40,40,0,False,False,9,False,1,0,0,0,False,O
69,12,2,No,2,19,99,633,1046,695,1079,633|633,1046|1046,695|695,1079|1079,13,33,33,0,False,False,9,False,1,0,0,0,False,O
70,12,3,:,1,21,9,633,1046,695,1079,633,1046,695,1079,-62,33,33,0,False,True,9,True,1,0,0,1,False,O
71,12,4,HSN,3,23,999,805,1048,885,1079,805|805|805,1048|1048|1048,885|885|885,1079|1079|1079,110,31,31,0,True,False,9,False,1,0,0,2,False,O
72,12,5,/,1,27,9,898,1046,916,1084,898,1046,916,1084,13,38,38,0,False,True,9,True,1,0,0,2,False,O
73,12,6,SAC,3,29,999,930,1048,1008,1080,930|930|930,1048|1048|1048,1008|1008|1008,1080|1080|1080,14,32,32,0,True,False,9,False,1,0,0,2,False,O
74,12,7,Code,4,33,9999,1018,1047,1114,1081,1018|1018|1018|1018,1047|1047|1047|1047,1114|1114|1114|1114,1081|1081|1081|1081,10,34,34,0,False,False,9,False,1,0,0,2,False,O
75,12,8,:,1,38,9,1125,1055,1135,1080,1125,1055,1135,1080,11,25,25,0,False,True,9,True,1,0,0,3,False,O
76,12,9,CIN,3,40,999,1654,1051,1738,1082,1654|1654|1654,1051|1051|1051,1738|1738|1738,1082|1082|1082,519,31,31,0,True,False,9,False,1,0,0,4,False,O
77,12,10,:,1,43,9,1654,1051,1738,1082,1654,1051,1738,1082,-84,31,31,0,False,True,9,True,1,0,0,5,False,O
78,12,11,PAN,3,45,999,2137,1054,2227,1085,2137|2137|2137,1054|1054|1054,2227|2227|2227,1085|1085|1085,399,31,31,0,True,False,9,False,1,0,0,6,False,O
79,12,12,:,1,48,9,2137,1054,2227,1085,2137,1054,2227,1085,-90,31,31,0,False,True,9,True,1,0,0,7,False,O
80,13,0,24AABCM4781A1ZV,15,0,999999999999999,236,1124,520,1153,236|236|236|236|236|236|236|236|236|236|236|236|236|236|236,1124|1124|1124|1124|1124|1124|1124|1124|1124|1124|1124|1124|1124|1124|1124,520|520|520|520|520|520|520|520|520|520|520|520|520|520|520,1153|1153|1153|1153|1153|1153|1153|1153|1153|1153|1153|1153|1153|1153|1153,0,29,29,0,False,False,9,False,1,0,7,0,False,O
81,13,1,998513,6,16,999999,803,1127,907,1154,803|803|803|803|803|803,1127|1127|1127|1127|1127|1127,907|907|907|907|907|907,1154|1154|1154|1154|1154|1154,283,27,27,0,False,False,9,False,1,0,6,1,True,O
82,13,2,-,1,23,9,917,1138,930,1147,917,1138,930,1147,10,9,9,0,False,True,9,True,1,0,0,1,False,O
83,13,3,CONTRACT,8,25,99999999,939,1127,1100,1155,939|939|939|939|939|939|939|939,1127|1127|1127|1127|1127|1127|1127|1127,1100|1100|1100|1100|1100|1100|1100|1100,1155|1155|1155|1155|1155|1155|1155|1155,9,28,28,0,True,False,9,False,1,0,0,1,False,O
84,13,4,STAFFING,8,34,99999999,1110,1128,1256,1156,1110|1110|1110|1110|1110|1110|1110|1110,1128|1128|1128|1128|1128|1128|1128|1128,1256|1256|1256|1256|1256|1256|1256|1256,1156|1156|1156|1156|1156|1156|1156|1156,10,28,28,0,True,False,9,False,1,0,0,1,False,O
85,13,5,SERVICES,8,43,99999999,1264,1128,1407,1156,1264|1264|1264|1264|1264|1264|1264|1264,1128|1128|1128|1128|1128|1128|1128|1128,1407|1407|1407|1407|1407|1407|1407|1407,1156|1156|1156|1156|1156|1156|1156|1156,8,28,28,0,True,False,9,False,1,0,0,1,False,O
86,13,6,U74210TN1992PTC023097,21,52,999999999999999999999,1654,1129,2035,1159,1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654|1654,1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129|1129,2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035,1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159|1159,247,30,30,0,False,False,9,False,1,0,15,2,False,O
87,13,7,AABCM4781A,10,74,9999999999,2134,1132,2328,1160,2134|2134|2134|2134|2134|2134|2134|2134|2134|2134,1132|1132|1132|1132|1132|1132|1132|1132|1132|1132,2328|2328|2328|2328|2328|2328|2328|2328|2328|2328,1160|1160|1160|1160|1160|1160|1160|1160|1160|1160,99,28,28,0,False,False,9,False,1,0,4,3,False,O
88,14,0,Place,5,0,99999,242,1227,338,1258,242|242|242|242|242,1227|1227|1227|1227|1227,338|338|338|338|338,1258|1258|1258|1258|1258,0,31,31,0,False,False,9,False,1,0,0,0,False,O
89,14,1,of,2,6,99,348,1227,387,1258,348|348,1227|1227,387|387,1258|1258,10,31,31,0,False,False,9,False,1,0,0,0,False,O
90,14,2,Supply,6,9,999999,395,1228,519,1266,395|395|395|395|395|395,1228|1228|1228|1228|1228|1228,519|519|519|519|519|519,1266|1266|1266|1266|1266|1266,8,38,38,0,False,False,9,False,1,0,0,0,False,O
91,14,3,/,1,16,8,529,1228,547,1264,529,1228,547,1264,10,36,36,0,False,True,8,True,1,0,0,0,False,O
92,14,4,Bill,4,18,9999,561,1228,616,1259,561|561|561|561,1228|1228|1228|1228,616|616|616|616,1259|1259|1259|1259,14,31,31,0,False,False,9,False,1,0,0,0,False,O
93,14,5,to,2,23,99,626,1231,675,1259,626|626,1231|1231,675|675,1259|1259,10,28,28,0,False,False,9,False,1,0,0,0,False,O
94,14,6,:,1,25,9,626,1231,675,1259,626,1231,675,1259,-49,28,28,0,False,True,9,True,1,0,0,1,False,O
95,14,7,Ship,4,27,9999,1353,1231,1432,1269,1353|1353|1353|1353,1231|1231|1231|1231,1432|1432|1432|1432,1269|1269|1269|1269,678,38,38,0,False,False,9,False,1,0,0,2,False,O
96,14,8,To,2,32,99,1442,1233,1490,1262,1442|1442,1233|1233,1490|1490,1262|1262,10,29,29,0,False,False,9,False,1,0,0,2,False,O
97,14,9,:,1,35,9,1501,1239,1510,1263,1501,1239,1510,1263,11,24,24,0,False,True,9,True,1,0,0,3,False,O
98,15,0,AXALTA,6,0,999999,239,1382,382,1413,239|239|239|239|239|239,1382|1382|1382|1382|1382|1382,382|382|382|382|382|382,1413|1413|1413|1413|1413|1413,0,31,31,0,True,False,9,False,1,0,0,0,False,B-Invoice_BillingAddressRecipient
99,15,1,COATING,7,7,9999999,393,1383,563,1413,393|393|393|393|393|393|393,1383|1383|1383|1383|1383|1383|1383,563|563|563|563|563|563|563,1413|1413|1413|1413|1413|1413|1413,11,30,30,0,True,False,9,False,1,0,0,0,False,I-Invoice_BillingAddressRecipient
100,15,2,SYSTEMS,7,15,9999999,573,1384,744,1414,573|573|573|573|573|573|573,1384|1384|1384|1384|1384|1384|1384,744|744|744|744|744|744|744,1414|1414|1414|1414|1414|1414|1414,10,30,30,0,True,False,9,False,1,0,0,0,False,I-Invoice_BillingAddressRecipient
101,15,3,INDIA,5,23,99999,753,1385,870,1414,753|753|753|753|753,1385|1385|1385|1385|1385,870|870|870|870|870,1414|1414|1414|1414|1414,9,29,29,0,True,False,9,False,1,0,0,0,False,I-Invoice_BillingAddressRecipient
102,15,4,PRIVATE,7,29,9999999,879,1385,1040,1414,879|879|879|879|879|879|879,1385|1385|1385|1385|1385|1385|1385,1040|1040|1040|1040|1040|1040|1040,1414|1414|1414|1414|1414|1414|1414,9,29,29,0,True,False,9,False,1,0,0,0,False,I-Invoice_BillingAddressRecipient
103,15,5,LIMITED,7,37,9999999,1052,1386,1210,1415,1052|1052|1052|1052|1052|1052|1052,1386|1386|1386|1386|1386|1386|1386,1210|1210|1210|1210|1210|1210|1210,1415|1415|1415|1415|1415|1415|1415,12,29,29,0,True,False,9,False,1,0,0,0,False,I-Invoice_BillingAddressRecipient
104,15,6,AXALTA,6,45,999999,1351,1377,1495,1407,1351|1351|1351|1351|1351|1351,1377|1377|1377|1377|1377|1377,1495|1495|1495|1495|1495|1495,1407|1407|1407|1407|1407|1407,141,30,30,0,True,False,9,False,1,0,0,1,False,B-Invoice_ShippingAddressRecipient
105,15,7,COATING,7,52,9999999,1505,1377,1676,1408,1505|1505|1505|1505|1505|1505|1505,1377|1377|1377|1377|1377|1377|1377,1676|1676|1676|1676|1676|1676|1676,1408|1408|1408|1408|1408|1408|1408,10,31,31,0,True,False,9,False,1,0,0,1,False,I-Invoice_ShippingAddressRecipient
106,15,8,SYSTEMS,7,60,9999999,1686,1377,1857,1408,1686|1686|1686|1686|1686|1686|1686,1377|1377|1377|1377|1377|1377|1377,1857|1857|1857|1857|1857|1857|1857,1408|1408|1408|1408|1408|1408|1408,10,31,31,0,True,False,9,False,1,0,0,1,False,I-Invoice_ShippingAddressRecipient
107,15,9,INDIA,5,68,99999,1865,1378,1982,1409,1865|1865|1865|1865|1865,1378|1378|1378|1378|1378,1982|1982|1982|1982|1982,1409|1409|1409|1409|1409,8,31,31,0,True,False,9,False,1,0,0,1,False,I-Invoice_ShippingAddressRecipient
108,15,10,PRIVATE,7,74,9999999,1992,1379,2153,1409,1992|1992|1992|1992|1992|1992|1992,1379|1379|1379|1379|1379|1379|1379,2153|2153|2153|2153|2153|2153|2153,1409|1409|1409|1409|1409|1409|1409,10,30,30,0,True,False,9,False,1,0,0,1,False,I-Invoice_ShippingAddressRecipient
109,15,11,LIMITED,7,82,9999999,2163,1379,2323,1410,2163|2163|2163|2163|2163|2163|2163,1379|1379|1379|1379|1379|1379|1379,2323|2323|2323|2323|2323|2323|2323,1410|1410|1410|1410|1410|1410|1410,10,31,31,0,True,False,9,False,1,0,0,1,False,I-Invoice_ShippingAddressRecipient
110,16,0,Plot,4,0,9999,240,1439,301,1470,240|240|240|240,1439|1439|1439|1439,301|301|301|301,1470|1470|1470|1470,0,31,31,0,False,False,9,False,1,0,0,0,False,B-Invoice_BillingAddress
111,16,1,No,2,5,99,311,1440,354,1470,311|311,1440|1440,354|354,1470|1470,10,30,30,0,False,False,9,False,1,0,0,0,False,I-Invoice_BillingAddress
112,16,2,KV,2,8,99,365,1438,411,1471,365|365,1438|1438,411|411,1471|1471,11,33,33,0,True,False,9,False,1,0,0,0,False,I-Invoice_BillingAddress
113,16,3,-1/2,4,11,9999,419,1441,485,1475,419|419|419|419,1441|1441|1441|1441,485|485|485|485,1475|1475|1475|1475,8,34,34,0,False,True,9,False,1,0,2,0,False,I-Invoice_BillingAddress
114,16,4,Savli,5,16,99999,497,1441,571,1471,497|497|497|497|497,1441|1441|1441|1441|1441,571|571|571|571|571,1471|1471|1471|1471|1471,12,30,30,0,False,False,9,False,1,0,0,0,False,I-Invoice_BillingAddress
115,16,5,GIDC,4,22,9999,582,1441,667,1471,582|582|582|582,1441|1441|1441|1441,667|667|667|667,1471|1471|1471|1471,11,30,30,0,True,False,9,False,1,0,0,0,False,I-Invoice_BillingAddress
116,16,6,"Estate,",7,27,9999999,677,1442,786,1476,677|677|677|677|677|677|677,1442|1442|1442|1442|1442|1442|1442,786|786|786|786|786|786|786,1476|1476|1476|1476|1476|1476|1476,10,34,34,0,False,True,9,False,1,0,0,0,False,I-Invoice_BillingAddress
117,17,0,"Manjusar,",9,0,999999999,241,1497,394,1534,241|241|241|241|241|241|241|241|241,1497|1497|1497|1497|1497|1497|1497|1497|1497,394|394|394|394|394|394|394|394|394,1534|1534|1534|1534|1534|1534|1534|1534|1534,0,37,37,0,False,True,9,False,1,0,0,0,False,I-Invoice_BillingAddress
118,17,1,Plot,4,10,9999,1352,1473,1413,1504,1352|1352|1352|1352,1473|1473|1473|1473,1413|1413|1413|1413,1504|1504|1504|1504,958,31,31,0,False,False,9,False,1,0,0,1,False,B-Invoice_ShippingAddress
119,17,2,No,2,15,99,1423,1475,1466,1504,1423|1423,1475|1475,1466|1466,1504|1504,10,29,29,0,False,False,9,False,1,0,0,1,False,I-Invoice_ShippingAddress
